Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
24/08/93,25.98899132,26.27321815,25.98899132,26.27321815,273400,24,1,34,8,1993
25/08/93,26.27322093,26.39757018,26.23769257,26.29098511,242300,25,2,34,8,1993
26/08/93,26.3087635,26.45087701,26.20217837,26.3087635,120000,26,3,34,8,1993
27/08/93,26.23769257,26.29098511,26.23769257,26.29098511,25700,27,4,34,8,1993
30/08/93,26.30875827,26.43310756,26.30875827,26.39757919,183500,30,0,35,8,1993
31/08/93,26.37981273,26.46863365,26.34428437,26.46863365,66500,31,1,35,8,1993
01/09/93,26.37983766,26.48642287,26.37983766,26.43313026,136500,1,2,35,9,1993
02/09/93,26.45087873,26.48640711,26.3265294,26.34429359,472400,2,3,35,9,1993
03/09/93,26.32653788,26.39759466,26.29100949,26.36206627,630500,3,4,35,9,1993
07/09/93,26.36205772,26.3975861,26.14888744,26.18441582,196400,7,1,36,9,1993
08/09/93,26.18440578,26.18440578,25.91794304,26.09558487,269900,8,2,36,9,1993
09/09/93,25.98902509,26.16666709,25.98902509,26.14890289,239200,9,3,36,9,1993
10/09/93,26.21994028,26.39758215,26.1844119,26.37981796,106500,10,4,36,9,1993
13/09/93,26.46863593,26.46863593,26.39757919,26.39757919,66900,13,0,37,9,1993
14/09/93,26.32651347,26.32651347,26.20216421,26.29098511,184500,14,1,37,9,1993
15/09/93,26.18442431,26.37983046,26.09560333,26.36206627,101000,15,2,37,9,1993
16/09/93,26.32652703,26.34429122,26.23770609,26.25547028,54300,16,3,37,9,1993
17/09/93,26.24031671,26.25819158,26.16881721,26.20456696,200900,17,4,37,9,1993
20/09/93,26.24033017,26.29395482,25.99008179,25.99008179,57800,20,0,38,9,1993
21/09/93,26.02581994,26.06156969,25.63257266,25.9006958,318200,21,1,38,9,1993
22/09/93,25.99006639,26.15094025,25.95431664,26.11519051,439700,22,2,38,9,1993
23/09/93,26.18668115,26.27605549,26.15093141,26.25818062,88500,23,3,38,9,1993
24/09/93,26.22245058,26.24032546,26.15095106,26.18670082,53500,24,4,38,9,1993
27/09/93,26.3833086,26.47268295,26.3833086,26.47268295,274600,27,0,39,9,1993
28/09/93,26.4905688,26.4905688,26.40119441,26.41906929,158300,28,1,39,9,1993
29/09/93,26.41906914,26.49056865,26.29394499,26.32969475,221000,29,2,39,9,1993
30/09/93,26.32969045,26.38331507,26.2224412,26.27606583,99300,30,3,39,9,1993
01/10/93,26.2403292,26.43695292,26.20457944,26.40120316,22700,1,4,39,10,1993
04/10/93,26.43692589,26.43692589,26.36542643,26.43692589,1038500,4,0,40,10,1993
05/10/93,26.49057757,26.49057757,26.31182874,26.40120316,436500,5,1,40,10,1993
06/10/93,26.41905433,26.52630354,26.3833046,26.3833046,209200,6,2,40,10,1993
07/10/93,26.41908174,26.41908174,26.29395754,26.31183243,59400,7,3,40,10,1993
08/10/93,26.38331254,26.40118741,26.15093919,26.34756279,54400,8,4,40,10,1993
11/10/93,26.40120316,26.45482781,26.40120316,26.40120316,467100,11,0,41,10,1993
12/10/93,26.43692589,26.45480075,26.41905102,26.43692589,26200,12,1,41,10,1993
13/10/93,26.45480075,26.45480075,26.40117616,26.43692589,139100,13,2,41,10,1993
14/10/93,26.54417892,26.7765522,26.47267945,26.7765522,108100,14,3,41,10,1993
15/10/93,26.90168079,26.97318028,26.83018131,26.91955566,1502500,15,4,41,10,1993
18/10/93,26.90169287,26.90169287,26.81231848,26.84806824,722400,18,0,42,10,1993
19/10/93,26.81231547,26.8659401,26.65144157,26.65144157,880100,19,1,42,10,1993
20/10/93,26.74081182,26.74081182,26.63356257,26.68718719,230400,20,2,42,10,1993
21/10/93,26.70506621,26.70506621,26.61569182,26.65144157,56200,21,3,42,10,1993
22/10/93,26.68720108,26.79445039,26.52632713,26.52632713,390700,22,4,42,10,1993
25/10/93,26.54420326,26.63357768,26.47270372,26.59782791,114500,25,0,43,10,1993
26/10/93,26.57992554,26.5978004,26.49055121,26.57992554,186200,26,1,43,10,1993
27/10/93,26.54420326,26.6157028,26.54420326,26.59782791,118400,27,2,43,10,1993
28/10/93,26.63356353,26.86593691,26.63356353,26.79443741,129600,28,3,43,10,1993
29/10/93,26.77656253,26.81231228,26.75868766,26.79443741,80700,29,4,43,10,1993
01/11/93,26.75868133,26.88380543,26.75868133,26.86593056,36400,1,0,44,11,1993
02/11/93,26.83019336,26.883818,26.68719433,26.84806824,262100,2,1,44,11,1993
03/11/93,26.83018584,26.83018584,26.38331399,26.50843811,479100,3,2,44,11,1993
04/11/93,26.508431,26.508431,26.20455822,26.22243309,130400,4,3,44,11,1993
05/11/93,26.15093919,26.34756279,26.04368995,26.34756279,363200,5,4,44,11,1993
08/11/93,26.36542973,26.45480407,26.29393026,26.3833046,367600,8,0,45,11,1993
09/11/93,26.56207711,26.57995199,26.38332827,26.40120316,246900,9,1,45,11,1993
10/11/93,26.40120418,26.59782791,26.32970465,26.59782791,46500,10,2,45,11,1993
11/11/93,26.59782667,26.6693262,26.50845225,26.52632713,88900,11,3,45,11,1993
12/11/93,26.57994207,26.74081596,26.56206719,26.65144157,108200,12,4,45,11,1993
15/11/93,26.70505011,26.70505011,26.56205118,26.63355064,243300,15,0,46,11,1993
16/11/93,26.68719989,26.7765743,26.57995059,26.75869942,492600,16,1,46,11,1993
17/11/93,26.77656028,26.77656028,26.54418692,26.61568642,39600,17,2,46,11,1993
18/11/93,26.57993156,26.63355617,26.47268234,26.54418182,240800,18,3,46,11,1993
19/11/93,26.45480888,26.52630837,26.43693401,26.49055862,106000,19,4,46,11,1993
22/11/93,26.41906914,26.43694401,26.24032036,26.32969475,165300,22,0,47,11,1993
23/11/93,26.47268295,26.49055782,26.32968399,26.47268295,89700,23,1,47,11,1993
24/11/93,26.54417581,26.5978004,26.50842607,26.57992554,77200,24,2,47,11,1993
26/11/93,26.65145256,26.65145256,26.57995303,26.59782791,1019800,26,4,47,11,1993
29/11/93,26.66930733,26.72293195,26.49055862,26.49055862,517500,29,0,48,11,1993
30/11/93,26.47268836,26.63356223,26.45481349,26.50843811,230000,30,1,48,11,1993
01/12/93,26.65143104,26.66930591,26.54418182,26.54418182,379200,1,2,48,12,1993
02/12/93,26.59781154,26.63356129,26.54418692,26.61568642,352000,2,3,48,12,1993
03/12/93,26.59781061,26.72293472,26.59781061,26.72293472,306000,3,4,48,12,1993
06/12/93,26.75869416,26.84806856,26.75869416,26.8123188,99500,6,0,49,12,1993
07/12/93,26.81231228,26.83018716,26.75868766,26.79443741,88800,7,1,49,12,1993
08/12/93,26.79443741,26.79443741,26.75868766,26.79443741,146700,8,2,49,12,1993
09/12/93,26.79444298,26.83019274,26.66931883,26.70506859,416500,9,3,49,12,1993
10/12/93,26.72294108,26.72294108,26.59781694,26.65144157,412900,10,4,49,12,1993
13/12/93,26.65144489,26.8123188,26.61569513,26.8123188,273200,13,0,50,12,1993
14/12/93,26.8301849,26.8301849,26.61568642,26.61568642,41900,14,1,50,12,1993
15/12/93,26.651425,26.66929987,26.57992554,26.57992554,82600,15,2,50,12,1993
